주차장명,주차장유형,주소,관리기관,전화번호,개방시작시간,개방종료시간
개천면사무소,부설,경상남도 고성군 개천면 옥천로 1278,경상남도 고성군청,055-670-5402,00:00,23:59
거류면사무소,부설,경상남도 고성군 거류면 당동3길 5,경상남도 고성군청,055-670-5622,00:00,23:59
송학고분군 주차장,노외,경상남도 고성군 고성읍 기월리 120-3,경상남도 고성군청,055-670-5822,00:00,23:59
고성군의회 주차장,부설,경상남도 고성군 고성읍 기월리 146-1,경상남도 고성군청,055-670-5752,00:00,23:59
고성종합운동장 주차장,노외,경상남도 고성군 고성읍 기월리 94-11,경상남도 고성군청,055-670-5842,00:00,23:59
동외들 주차장,노외,경상남도 고성군 고성읍 동외리 163-5,경상남도 고성군청,055-670-2335,00:00,23:59
동외지구 주차장,노상,경상남도 고성군 고성읍 동외리 415-2,경상남도 고성군청,055-670-2334,00:00,23:59
고성군청 부설주차장,부설,경상남도 고성군 고성읍 성내로 130,경상남도 고성군청,055-670-2114,00:00,23:59
고성읍 행정복지센터,부설,경상남도 고성군 고성읍 송학로 93,경상남도 고성군청,055-670-5006,00:00,23:59
고성박물관 주차장,부설,경상남도 고성군 고성읍 송학리 488-2,경상남도 고성군청,055-670-5822,00:00,23:59
수남지구 주차장,노상,경상남도 고성군 고성읍 수남리 86-10,경상남도 고성군청,055-670-2335,00:00,23:59
고성탈박물관 주차장,부설,경상남도 고성군 고성읍 율대2길 23,경상남도 고성군청,055-670-2223,00:00,23:59
구만면사무소,부설,경상남도 고성군 구만면 영회로 1765,경상남도 고성군청,055-670-5452,00:00,23:59
대가면사무소,부설,경상남도 고성군 대가면 대가로 471,경상남도 고성군청,055-670-5252,00:00,23:59
동해면사무소,부설,경상남도 고성군 동해면 장기3길 100,경상남도 고성군청,055-670-5602,00:00,23:59
마암면사무소,부설,경상남도 고성군 마암면 도전리 670-22,경상남도 고성군청,055-670-5552,00:00,23:59
삼산면사무소,부설,경상남도 고성군 삼산면 공룡로 2137,경상남도 고성군청,055-670-5052,00:00,23:59
상리면사무소,부설,경상남도 고성군 상리면 척번정리 388-7,경상남도 고성군청,055-670-5202,00:00,23:59
영오면사무소,부설,경상남도 고성군 영현면 영산리 240-7,경상남도 고성군청,055-670-5352,00:00,23:59
영현면사무소,부설,경상남도 고성군 영현면 침점리 343,경상남도 고성군청,055-670-5302,00:00,23:59
하이면사무소,부설,경상남도 고성군 하이면 덕호리 1287-14,경상남도 고성군청,055-670-5152,00:00,23:59
배둔공영주차장,노상,경상남도 고성군 회화면 배둔리 1288-54,경상남도 고성군청,055-670-2332,00:00,23:59
회화면사무소,부설,경상남도 고성군 회화면 배둔리 344-3,경상남도 고성군청,055-670-5502,00:00,23:59
하일면사무소,부설,경상남도 고성군하일면 학림리 1499-3,경상남도 고성군청,055-670-5102,00:00,23:59
