연번,시도,시군구,주차장명,지번상세주소,면적,총면수,실 주차면수,만차시 면수,데이터기준일자
1,경상북도,고령군,대가야역사공원 공영주차장,경상북도 고령군 대가야읍 쾌빈리 433-11,43755㎡,1231,1231,1231,2026-01-02
2,경상북도,고령군,쾌빈리 제1공영주차장,경상북도 고령군 대가야읍 쾌빈리 381-1,3888㎡,162,162,162,2026-01-02
3,경상북도,고령군,쾌빈리 제2공영주차장,경상북도 고령군 대가야읍 쾌빈리 412,818㎡,18,18,18,2026-01-02
4,경상북도,고령군,시장길 공영주차장,경상북도 고령군 대가야읍 고아리 4-4,1078㎡,27,27,27,2026-01-02
5,경상북도,고령군,고아리 제1공영주차장,경상북도 고령군 대가야읍 고아리 127-1,580㎡,18,18,18,2026-01-02
6,경상북도,고령군,고아리 제2공영주차장,경상북도 고령군 대가야읍 고아리 259-1,1775㎡,36,36,36,2026-01-02
7,경상북도,고령군,고아리 제3공영주차장,경상북도 고령군 대가야읍 고아리 62,886㎡,42,42,42,2026-01-02
8,경상북도,고령군,고아리 공영주차장,경상북도 고령군 대가야읍 고아리 130-2,185㎡,10,10,10,2026-01-02
9,경상북도,고령군,헌문리 공영주차장,경상북도 고령군 대가야읍 헌문리 17-6,1067㎡,34,34,34,2026-01-02
10,경상북도,고령군,연조리 제2공영주차장,경상북도 고령군 대가야읍 연조리 233-3,1619㎡,34,34,34,2026-01-02
11,경상북도,고령군,연조3리 공영주차장,경상북도 고령군 대가야읍 연조리 134-3,165㎡,7,7,7,2026-01-02
12,경상북도,고령군,모산골 공영주차장,경상북도 고령군 대가야읍 지산리 45,657㎡,19,19,19,2026-01-02
13,경상북도,고령군,지산리 제1공영주차장,경상북도 고령군 대가야읍 지산리 27,4170㎡,90,90,90,2026-01-02
14,경상북도,고령군,지산리(대가야시장) 공영주차장,경상북도 고령군 대가야읍 지산리 232-3,1545㎡,40,40,40,2026-01-02
15,경상북도,고령군,지산3리 공영주차장,경상북도 고령군 대가야읍 지산리 610-1,3300㎡,104,104,104,2026-01-02
16,경상북도,고령군,문화의거리 공영주차장,경상북도 고령군 대가야읍 지산리 232-6,1821㎡,57,57,57,2026-01-02
17,경상북도,고령군,저전리 공영주차장,경상북도 고령군 대가야읍 저전리 298,436㎡,10,10,10,2026-01-02
18,경상북도,고령군,가륜리 공영주차장,경상북도 고령군 덕곡면 가륜리 229-1,1606㎡,60,60,60,2026-01-02
19,경상북도,고령군,원송리 공영주차장,경상북도 고령군 덕곡면 원송리 99,276㎡,10,10,10,2026-01-02
20,경상북도,고령군,봉평리 공영주차장,경상북도 고령군 운수면 봉평리 829-1,1235㎡,40,40,40,2026-01-02
21,경상북도,고령군,득성리 공영주차장,경상북도 고령군 성산면 득성리 190,758㎡,5,5,5,2026-01-02
22,경상북도,고령군,삼대리 공영주차장,경상북도 고령군 성산면 삼대리 431-1,1744㎡,30,30,30,2026-01-02
23,경상북도,고령군,무계리 공영주차장,경상북도 고령군 성산면 무계리 313,678㎡,22,22,22,2026-01-02
24,경상북도,고령군,기족리 공영주차장,경상북도 고령군 성산면 기족리 365-1,258㎡,9,9,9,2026-01-02
25,경상북도,고령군,고탄리 공영주차장,경상북도 고령군 성산면 고탄리 208,948㎡,30,30,30,2026-01-02
26,경상북도,고령군,평리리 제2공영주차장,경상북도 고령군 다산면 평리리 257-18,1750㎡,27,27,27,2026-01-02
27,경상북도,고령군,상곡리 공영주차장,경상북도 고령군 다산면 상곡리 150-9,1545㎡,48,48,48,2026-01-02
28,경상북도,고령군,다산 공영주차장,경상북도 고령군 다산면 상곡리 175-1,589㎡,10,10,10,2026-01-02
29,경상북도,고령군,상곡1리 공영주차장,경상북도 고령군 다산면 상곡리 285-1,2219㎡,84,84,84,2026-01-02
30,경상북도,고령군,송곡1리 공영주차장,경상북도 고령군 다산면 송곡리 286,1128㎡,37,37,37,2026-01-02
31,경상북도,고령군,반운리 공영주차장,경상북도 고령군 개진면 반운리 344,404㎡,14,14,14,2026-01-02
32,경상북도,고령군,인안1리 공영주차장,경상북도 고령군 개진면 인안리 391-6,1156㎡,32,32,32,2026-01-02
33,경상북도,고령군,양전2리 공영주차장,경상북도 고령군 개진면 양전리 64-8,638㎡,16,16,16,2026-01-02
34,경상북도,고령군,봉산리 공영주차장,경상북도 고령군 우곡면 봉산리 1208-1,717㎡,18,18,18,2026-01-02
35,경상북도,고령군,산당리 공영주차장,경상북도 고령군 쌍림면 산당리 305,558㎡,20,20,20,2026-01-02
36,경상북도,고령군,하거리 공영주차장,경상북도 고령군 쌍림면 하거리 476,984㎡,18,18,18,2026-01-02
37,경상북도,고령군,산주리 공영주차장,경상북도 고령군 쌍림면 산주리 334-1,1614㎡,29,29,29,2026-01-02
38,경상북도,고령군,신곡리 공영주차장,경상북도 고령군 쌍림면 신곡리 382-8,771㎡,21,21,21,2026-01-02
39,경상북도,고령군,안림리 공영주차장,경상북도 고령군 쌍림면 안림리 289-8,683㎡,15,15,15,2026-01-02
