호선,역명,주차장명,관리주체,위치,규모,비고
01,설화명곡,설화명곡역 임시 공영주차장,달성군청 교통지원과,④번출구에서 300m,100,24시간
01,진천,진천공영환승주차장(임시폐쇄),대구공공시설관리공단,②번출구에서 100m,184,"08:00-17:00(토,일 무료)"
01,상인,상인공영주차장,대구공공시설관리공단,⑤번출구에서 50m,279,06:00-23:00 유료
01,상인,대구교통공사주차장,대구교통공사,⑤번출구에서 50m,407,06:00-22:00 유료(1시간 이내 무료)
01,서부정류장,관문시장 공영주차장,관문시장,③번출구에서 180m,71,24시간 유료
01,명덕(2.28민주운동기념회관),남산공영주차장,중구청(민간위탁),①번출구에서 300m,61,08:00-20:00 유료(20시 이후 무료)
01,반월당,메트로센터,메트로센터,"메트로센터 지하1, 3층",670,06:00-24:00
01,중앙로,경상감영주차장,대구공공시설관리공단,④번출구에서 50m,61,07:00-23:00 유료
01,대구역,교동공영주차장,중구청,교동시장내,208,08:00-22:00 유료
01,칠성시장,신천둔치주차장,대구공공시설관리공단,④번출구에서 20m,412,24시간 유료
01,칠성시장,칠성공영주차장,대구공공시설관리공단,②번출구에서 90m,150,24시간 유료
01,동대구역,신세계동대구 복합환승센터 주차장,신세계백화점,②번출구에서 200m,2922,24시간 유료
01,동대구역,1주차장,한국전자금융,③번출구에서 320m,120,24시간 유료
01,동대구역,2주차장,코레일네트웍스,③번출구에서 250m,244,24시간 유료
01,동대구역,맞이주차장,대구공공시설관리공단,③번출구에서 120m,56,24시간 유료
01,아양교,아양교공영주차장,동구청,③번출구에서 150m,67,무료
01,해안,방촌천복개주차장,동구청,①번출구에서 80m,140,무료
01,안심,안심공영주차장,동구청,③번출구에서 480m,254,유료(24시간)
01,대구한의대병원,대구한의대병원역 환승주차장,대구교통공사,②번출구와 인접,34,"06:00~24:00 유료, (00:00~06:00 무료)"
02,하양,하양역 환승주차장,대구교통공사,①번출구와 인접,55,"06:00~24:00 유료, (00:00~06:00 무료)"
02,문양,문양역환승주차장,"달성군농산물집하장, 대구교통공사","역구내 1층, 2층",208,"06:00~24:00 유료, (00:00~06:00 무료)"
02,문양,달성군주차장,달성군,①번출구에서 250m,72,무료
02,성서산업단지역,성서행정타운 임시환승주차장,수목원관리사무소,⑦출구 앞,330,"24시간, 무료"
02,용산(서부법원·검찰청입구),용산환승주차장,대구공공시설관리공단,④번출구에서 10m,185,07:00-18:00 유료
02,용산(서부법원·검찰청입구),홈플러스주차장,홈플러스,홈플러스 지하3층,240,05:00-23:30 무료
02,두류,두류1번가 지하주차장,(주)대우,두류1번가 지하2층,135,08:00-23:00 유료
02,반고개,두류공영주차장,달서구청,②번출구에서 300m,34,06:00-23:00 유료(23시 이후 무료)
02,청라언덕,서문주차빌딩,대구공공시설관리공단,①번출구에서 500m,640,07:00-22:00
02,범어,범어천로 1주차장,수성구청,①번출구에서 200m,122,08:00-19:30
02,범어,범어천로 2주차장,수성구청,②번출구에서 200m,31,08:00-19:30
02,신매,시지근린공원주차장,대구공공시설관리공단,⑥번출구에서 150m,139,08:00-22:00 유료
02,임당,계양주차장,경산시,②번출구에서 100m,185,무료
02,임당,임당환승주차장,경산시,⑦출구에서20m,317,무료
03,칠곡경대병원,칠곡차량기지 외부주차장,대구교통공사,250m,93,무료
03,팔거(국립농산원·통계청),칠곡3지구 임시공영주차장,북구청,800m,317,무료
03,팔거(국립농산원·통계청),동북지방통계청 주차장,동북지방통계청,30m,68,"주말,공휴일,업무외시간(평일 08-18시 이용불가)"
03,동천,구수산공영주차장,북구청,400m,48,무료
03,동천,복합청사공영주차장,북구청,120m,24,무료
03,매천,매천역승공영주차장,북구청,80m,83,무료
03,만평,만평R 북편 공영주차장,대구공공시설관리공단,50m,34,08:00-19:00 유료(19시 이후 무료)
03,만평,만평R 남편 공영주차장,대구공공시설관리공단,50m,58,08:00-19:00 유료(19시 이후 무료)
03,만평,북비산R 서편 공영주차장,대구공공시설관리공단,150m,18,"09:00-18:00 유료(18시 이후 무료), 일, 공휴일 무료"
03,팔달시장,팔달신시장공영주차장,대구공공시설관리공단,500m,158,유료(24시간)
03,원대,원대동공영주차장,서구청,250m,27,유료(24시간)
03,북구청,노상공영주차장,대구공공시설관리공단,200m,36,08:00-18:00 유료(18시 이후 무료)
03,달성공원,달성동 복개도로 공영주차장,대구공공시설관리공단,100m,106,"07:30-19:30 유료(19:30분 이후 무료), 일·공휴일 무료"
03,달성공원,수창초등학교옆 노상공영주차장,대구공공시설관리공단,50m,12,"08:00-20:00 유료(20시 이후 무료), 일·공휴일 무료"
03,서문시장(동산병원),서문시장내 서문공영주차장,대구공공시설관리공단,200m,640,07:00-22:00 유료
03,남산(계명네거리),자동차부속골목 서편 노상주차장,중구청,50m,40,08:00-20:00 유료(20시 이후 무료)
03,남산(계명네거리),남산4동주민센터부근 노상주차장,중구청,100m,35,08:00-20:00 유료(20시 이후 무료)
03,명덕(2.28민주운동기념회관),남산공영주차장,중구청,300m,61,08:00-20:00 유료(20시 이후 무료)
03,건들바위,노상공영주차장,남구청,100m,41,08:00-20:00 유료(20시 이후 무료)
03,대봉교,대백프라자주변 노상주차장,중구청,100m,58,08:00-20:00 유료(20시 이후 무료)
03,수성시장,노상주차장,수성구청,출구 앞,10,09:00-17:30 / 20:30-익일07:00 (무료)
03,수성구민운동장,범어천 노상2주차장,수성구청,100m,103,08:00-20:00 유료(20시 이후 무료)
03,어린이세상,어린이세상앞 공영유료주차장,대구공공시설관리공단,70m,199,"07:00-19:00 토, 일 무료개방"
03,어린이세상,범어천로 노상3주차장,수성구청,300m,128,08:00-20:00 유료(20시 이후 무료)
03,황금,황금 2동 공영주차장,수성구청,360m,28,무료
03,지산,지범로 노상공영주차장,수성구청,250m,53,무료
03,범물,지산공영주차장,대구공공시설관리공단,160m,133,08:00-23:00 유료(23시-익일08시까지 무료)
03,용지,범물공영주차장,대구공공시설관리공단,250m,127,"08:30-18:30 유료(토, 일 무료개방)"
