순번,주차장명,행정동,법정동,지번주소,도로명주소,상세주소,면적(m2),주차면수,설치일,소유자
1,도마제2공한지무료주차장,도마2동,도마동,대전 서구 도마2동 549-13,,도마2동 549-13,188,8,2003-11-26,개인
2,변동제1공한지무료주차장,변동,변동,대전 서구 변동 32-46,,변동 32-46,198.6,9,1999-06-15,개인
3,괴정제1공한지무료주차장,괴정동,괴정동,대전 서구 괴정동 46-9,,괴정 46-9,433.1,11,1991-09-05,개인
4,둔산제1공한지무료주차장,둔산1동,둔산동,대전 서구 둔산1동 1409,,둔산1동 1409,844.2,34,2002-05-06,개인
5,월평제3공한지무료주차장,월평1동,월평동,대전 서구 월평1동 1439,,월평1동 1439,193.4,9,2001-05-21,개인
8,도안제2공한지무료주차장,가수원동,도안동,대전 서구 도안동 1088,,도안동 1088,265.4,10,2016-04-29,개인
9,도마제3공한지무료주차장,도마2동,도마동,대전 서구 도마동 479-1,,도마동 479-1,268,4,2016-04-29,개인
10,탄방제1공한지무료주차장,탄방동,탄방동,대전 서구 탄방동 1053,,탄방동 1053,712,30,2016-06-29,개인
11,도마제5공한지무료주차장,도마2동,도마동,대전 서구 도마동 552-4,,도마동 552-4,174,9,2017-07-11,개인
12,변동제4공한지무료주차장,변동,변동,대전 서구 변동 3-13,,변동 3-13,624.3,27,2017-07-11,개인
13,우명제1공한지무료주차장,기성동,우명동,대전 서구 우명동 267-1,대전 서구 우명길 68 (우명동),우명동 267-1,250,10,2017-12-26,개인
6,도안제1공한지무료주차장,가수원동,도안동,"대전 서구 도안동 1557, 1558",,"도안동 1557,1558",4329,121,2019-08-31,목원대학교
7,변동제3공한지무료주차장,변동,변동,대전 서구 변동 22-117,,변동 22-117,99.2,3,2015-03-26,개인
14,가수원제3공한지무료주차장,가수원동,가수원동,대전 서구 가수원동 806-19,,가수원동 806-19,129.6,5,2018-04-11,개인
15,변동제5공한지무료주차장,변동,변동,대전 서구 변동 39-36,,변동 39-36 외,2956.1,84,2018-06-01,국
16,복수제4공한지무료주차장,복수동,복수동,대전 서구 복수동 934,,복수동 934,515,22,2018-08-13,개인
17,기성제1공한지무료주차장,기성동,용촌동,대전 서구 용촌동 412-1,대전 서구 정방길 200 (용촌동),용촌동 412-1,180,6,2019-06-30,개인
18,변동제6공한지무료주차장,변동,변동,대전 서구 변동 4-35,,변동 4-35,162.9,6,2021-01-15,개인
19,관저제1공한지무료주차장,관저2동,관저동,대전 서구 관저동 1550-2,,관저동 1550-2,1911.2,60,2021-05-25,LH
20,관저제2공한지무료주차장,관저2동,관저동,대전 서구 관저동 1343,,관저동 1343,675.4,20,2021-05-25,LH
25,둔산제2공한지유료주차장,둔산2동,둔산동,"대전 서구 둔산동 1113, 1114",,"둔산2동 1113, 1114",1867.5,64,2023-05-03,개인
21,관저제3공한지무료주차장,관저2동,관저동,대전 서구 관저동 1965-1,,관저동 1965-1,245.5,8,2021-04-27,개인
24,관저제4공한지무료주차장,관저1동,관저동,대전 서구 관저동 1883,,관저동 1883,285.1,10,2022-04-04,개인
22,용문제1공한지무료주차장,용문동,용문동,대전 서구 용문동 272-16,,용문동 272-16,472.9,20,2021-12-31,개인
23,괴정제2공한지무료주차장,괴정동,괴정동,대전 서구 괴정동 9-1,,괴정동 9-1,235,5,2022-04-04,개인
26,관저제5공한지무료주차장,관저2동,관저동,대전 서구 관저동 1992-2~5,,관저동 1992-2~5,3080.3,94,2023-05-03,개인
27,관저제6공한지무료주차장,관저1동,관저동,대전 서구 관저동 1792,,관저동 1792,297,10,2023-05-04,개인
28,관저제7공한지무료주차장,관저1동,관저동,대전 서구 관저동 1886,,관저동 1886,466,16,2023-05-04,개인
29,관저제8공한지무료주차장,관저1동,관저동,대전 서구 관저동 1653,,관저동 1653,298.7,9,2023-05-04,개인
30,관저제9공한지무료주차장,관저1동,관저동,대전 서구 관저동 1711,,관저동 1711,335.2,11,2023-05-04,개인
31,도안제3공한지무료주차장,도안동,도안동,대전 서구 도안동 1587,,도안동 1587,4475.8,89,2024-04-18,LH
32,도안제4공한지무료주차장,도안동,도안동,대전 서구 도안동 1690,,도안동 1690,247.9,9,2024-06-12,개인
33,관저제10공한지무료주차장,관저1동,관저1동,대전 서구 관저동 1866,,관저동 1866,312.1,11,2024-06-12,개인
34,관저제11공한지무료주차장,관저1동,관저1동,대전 서구 관저동 1671,,관저동 1671,310.2,11,2024-06-12,개인
35,관저제12공한지무료주차장,관저1동,관저1동,대전 서구 관저동 1652,,관저동 1652,298.7,9,2024-06-12,개인
36,관저제13공한지무료주차장,관저1동,관저1동,대전 서구 관저동 1691,,관저동 1691,323.8,16,2024-06-12,개인
37,관저제14공한지무료주차장,관저2동,관저2동,대전 서구 관저동 1961-5,,관저동 1961-5,579.5,19,2024-06-12,개인
38,관저제15공한지무료주차장,관저2동,관저2동,대전 서구 관저동 1961-5,관저동 1963-7~8,관저동 1963-7~8,577.9,18,2025-05-14,개인
39,관저제16공한지무료주차장,관저2동,관저2동,대전 서구 관저동 1961-5,관저동 1944-6~8,관저동 1944-6~8,1118,41,2025-07-15,농어촌공사
