연번,주차장명,총구획수,가족배려,장애인,경차,전기차,충전소,비상벨
1,우림시장,44,0,0,0,0,0,0
2,동원시장,31,0,0,0,0,0,0
3,면목시장,25,0,0,0,0,0,0
4,망우본동,96,9,4,18,5,3,0
5,은행나무,97,0,2,0,0,0,0
6,늘봄,72,0,2,0,0,0,0
7,봉수대,31,4,1,0,0,0,0
8,용마폭포,119,12,4,0,6,1,0
9,면목2동,199,37,6,2,10,4,20
10,중곡초교,140,27,5,0,10,4,6
11,면일초교,80,26,5,0,7,3,6
12,중랑초교,77,13,4,0,7,4,4
13,까치공원,90,10,3,0,5,5,4
14,면목5동,67,14,2,0,4,2,4
15,망우3동,55,6,2,10,3,2,4
16,중화 제1~4,372,39,16,21,21,8,0
17,면목유수지,567,57,24,5,51,20,0
18,중랑역 제1~2,217,34,8,0,12,5,0
19,봉화산역,100,10,4,16,5,4,10
20,면목2동(동부시장),129,13,4,1,7,3,8
21,망우역사문화공원 제1~3,121,10,6,0,3,4,0
22,봉화산역(남),86,9,3,0,5,2,0
23,중랑캠핑숲제1~3,127,14,6,3,5,5,0
24,중화1동,230,24,7,24,12,0,11
