연번,주차장명,구분,주차대수,위치,데이터기준일,
1.0,망원,노상,58.0,서울특별시 마포구 희우정로68~희우정로123,2026-01-28,
2.0,경남,노상,18.0,서울특별시 마포구 월드컵북로1길6~월드컵북로 1길52,2026-01-28,
3.0,연남,노상,42.0,서울특별시 마포구 동교로235-1~동교로267,2026-01-28,
4.0,청기와,노상,57.0,서울특별시 마포구 월드컵로10길24~잔다리로133,2026-01-28,
5.0,당인,노상,31.0,서울특별시 마포구 독막로6길43~독막로42,2026-01-28,
6.0,합정,노상,31.0,서울특별시 마포구 양화로6길17~양화로6길93,2026-01-28,
7.0,동교동,노상,46.0,서울특별시 마포구 와우산로29길 16 일대,2026-01-28,
8.0,새물결,노상,16.0,서울특별시 마포구 양화로18길3~어울마당로135,2026-01-28,
9.0,용강,노상,52.0,서울특별시 마포구 토정로272~토정로319,2026-01-28,
10.0,신촌노상,노상,15.0,서울특별시 마포구 망원로 73~망원로 89,2026-01-28,
11.0,월드컵시장,노상,13.0,서울특별시 마포구 망원로 73~망원로 69,2026-01-28,
12.0,망원시장,노상,15.0,서울특별시 마포구 망원로 92~망원로74,2026-01-28,
13.0,아현시장,노상,21.0,서울특별시 마포구 굴레방로7길20~굴레방로7길30,2026-01-28,
14.0,망원노외,노외,21.0,서울특별시 마포구 월드컵로131,2026-01-28,
15.0,신촌노외,노외,24.0,서울특별시 마포구 노고산동49-64,2026-01-28,
16.0,신수노외,노외,15.0,서울특별시 마포구 신수동 88-1,2026-01-28,
17.0,마포월드컵,노외,534.0,서울특별시 마포구 상암동 1624~6,2026-01-28,
18.0,마포유수지,노외,503.0,서울특별시 마포구 마포대로1길9,2026-01-28,
19.0,상암1,노외(시설),212.0,서울특별시 마포구 성암로197,2026-01-28,
20.0,양화진,노외(시설),124.0,서울특별시 마포구 토정로2,2026-01-28,
21.0,염리,노외(시설),135.0,서울특별시 마포구 큰우물로61,2026-01-28,
22.0,창천중교,노외(시설),277.0,서울특별시 마포구 백범로1길56,2026-01-28,
23.0,망원1-2,노외(시설),149.0,서울특별시 마포구 포은로6길10,2026-01-28,
24.0,도화,노외(시설),63.0,서울특별시 마포구 도화길37,2026-01-28,
25.0,중앙도서관,노외(시설),192.0,서울특별시 마포구 성산로128,2026-01-28,
26.0,대흥,노외(시설),19.0,서울특별시 마포구 대흥로 191,2026-01-28,
27.0,망원나들목A동,노외(시설),63.0,서울특별시 마포구 망원동 460-5번지 일대,2026-01-28,
28.0,소금나루도서관,노외(시설),111.0,서울특별시 마포구 숭문길 72,2026-01-28,
29.0,아현시민,노외(시설),131.0,서울특별시 마포구 신촌로28길29,2026-01-28,
30.0,연남,노외(시설),96.0,서울특별시 마포구 연남로 84,2026-01-28,
