기관명, 주차장 주소, 주차장명, 무료개방시작일, 무료개방종료일 ,위도,경도,전화번호,데이터기준일
북세종 통합 행정복지센터, 세종특별자치시 조치원읍 새내 16길 17 ,북세종 통합 행정복지센터 주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.6045197,127.2984508,044-301-5056,2025-12-26
새롬동 행정복지센터,세종특별자치시 새롬중앙로 44  ,새롬동 복합커뮤니티센터 지하주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.48538,127.251686,044-301-6819,2025-12-26
다정동 주민센터,세종특별자치시 다정남3로 10,다정동 복합커뮤니티센터 지하주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.494112,127.250193,044-301-7121,2025-12-26
보람동 행정복지센터,세종특별자치시 호려울로 42 ,보람동 복합커뮤니티센터 청사 입구 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.478772,127.290571,044-301-6716,2025-12-26
한솔동 행정복지센터,세종특별자치시 노을3로 85 ,한솔동 행정복지센터 훈민관+정음관 지하주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.479022,127.254736,044-301-6114,2025-12-26
소담동 행정복지센터,세종특별자치시 한누리대로 2023 ,소담동 복합커뮤니티센터 지하주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.484075,127.300366,044-301-7016,2025-12-26
도담동 행정복지센터,세종특별자치시 보람로 77 ,도담동 복합커뮤니티센터 주차장 지하주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.515603,127.262033,044-301-6219,2025-12-26
대평동 행정복지센터,세종특별자치시 대평1길 10 ,대평동 복합커뮤니티센터 지하주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.470962,127.279205,044-301-6914,2025-12-26
아름동 행정복지센터,세종특별자치시 세종보듬3로 114 ,아름동 복합커뮤니티센터 건물 뒷편,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.512354,127.246892,044-301-6344,2025-12-26
고운동 행정복지센터,세종특별자치시 마음로 284 ,고운동(북측) 복합커뮤니티센터 지하주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.519797,127.236693,044-301-6614,2025-12-26
고운동 행정복지센터,세종특별자치시 마음로 64 ,고운동(남측) 복합커뮤니티센터 지하주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.504972,127.235365,044-301-7212,2025-12-26
종촌동 행정복지센터,세종특별자치시 도움3로 125 ,종촌동 복합커뮤니티센터 지하주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.504631,127.246866,044-301-6415,2025-12-26
해밀동 행정복지센터,세종특별자치시 해밀1로 45 ,해밀동 복합커뮤니티센터 지하주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.5270351,127.2683523,044-301-7415,2025-12-26
반곡동 행정복지센터,세종특별자치시 반곡로 39 ,반곡동 복합커뮤니티센터 지하주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.4988496,127.310822,044-301-7316,2025-12-26
나성동 행정복지센터,세종특별자치시 갈매로 280 ,나성동 복합커뮤니티센터 지하주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.4966654,127.2691064,044-301-7615,2025-12-26
어진동 행정복지센터, 세종특별자치시 다솜1로 31 ,어진동 복합커뮤니티센터 지상주차장+지하주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.5018768,127.2562323,044-301-7514,2025-12-26
"세종특별자치시 시설관리공단	",세종특별자치시 조치원읍 새내로 99(주차타워) ,조치원 공영주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.600586,127.29772,044-850-1292,2025-12-26
"세종특별자치시 시설관리공단	",세종특별자치시 조치원읍 정리 33-3(전통시장주차장) ,조치원 공영주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.59976,127.29957,044-850-1292,2025-12-26
세종특별자치시 시설관리공단,세종특별자치시 조치원읍 정리 39-1(이벤트광장),조치원 공영주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.59987,127.300002,044-850-1292,2025-12-26
세종특별자치시 시설관리공단, 세종특별자치시 한솔동로 26 ,행복도시 공영주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.480995,127.261276,044-850-1292,2025-12-26
"세종특별자치시 시설관리공단	",세종특별자치시 도담동 920  ,행복도시 공영주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.512757,127.258592,044-850-1292,2025-12-26
"세종특별자치시 시설관리공단	",세종특별자치시 보듬3로 105(아름공영주차장) ,행복도시 공영주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.511392,127.247859,044-850-1292,2025-12-26
"세종특별자치시 시설관리공단	",세종특별자치시 달빛로 53(종촌공영주차장) ,행복도시 공영주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.503738,127.249699,044-850-1292,2025-12-26
"세종특별자치시 시설관리공단	",세종특별자치시 나성동 719(환승주차장A) ,행복도시 공영주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.48081,127.26148,044-850-1292,2025-12-26
세종특별자치시 시설관리공단,세종특별자치시 나성동 778(환승주차장B) ,행복도시 공영주차장 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.48147,127.26213,044-850-1292,2025-12-26
대평시장상인회,세종특별자치시 금남면 용포리146-1 ,대평시장 공영주차장,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.465296,127.281786,044-867-3838,2025-12-26
세종특별자치시,세종특별자치시 한누리대로 2130 (보람동) ,세종특별자치시청 청사 입구,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.480058,127.289039,044-300-6547,2025-12-26
세종특별자치시,세종특별자치시 조치원읍 군청로 93 ,조치원청사 청사 입구 ,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.592779,127.292061,044-300-6547,2025-12-26
세종평생교육학습관,세종특별자치시 조치원읍 문화2길 25 ,세종평생교육학습관,"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.600448,127.287713,044-410-1440,2025-12-26
세종특별자치시 시설관리공단, 세종특별자치시 나성동 697-4,행복도시 공영주차장 (도시상징광장),"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.4860446,127.2638094,044-850-1292,2025-12-26
세종특별자치시 시설관리공단,세종특별자치시 금남면 신촌리 297-11 ,행복도시 공영주차장 (용포로 공영주차장),"2025-01-25, 2025-10-05","2025-01-30, 2025-10-08",36.4684296,127.2823068,044-850-1292,2025-12-26
